,id заказа,id экскурсии,Количество билетов,Статус,Дата создания,Дата оплаты,Цена,Способ оплаты,Валюта оплаты,Устройство
0,1530172259,24829,1,held,2021-07-05 13:52:14.939331,2021-07-07 08:40:50.512257,464.0,deposit,RUB,Mobile
1,1530020797,19941,2,cleared,2021-02-02 20:46:13.862124,2021-02-03 14:24:54.313461,972.0,post_pay,USD,Mobile
2,1530226540,31065,9,cleared,2021-08-08 19:49:25.746301,2021-08-08 21:51:44.054885,983.0,deposit,RUB,Mobile
3,1530328188,28231,1,canceled_by_host,2021-11-01 16:47:48.459655,,93.0,,RUB,Mobile
4,1530078146,28632,2,cleared,2021-04-28 17:43:50.731851,2021-04-28 17:47:01.075907,742.0,deposit,RUB,Desktop
5,1530081863,31757,1,pending,2021-05-01 09:48:45.982078,,111.0,,RUB,Mobile
6,1530158479,35532,2,canceled_by_attendee,2021-06-24 17:07:13.550835,,927.0,,RUB,Mobile
7,1530117071,19920,2,cleared,2021-05-29 20:14:48.594947,2021-05-29 20:27:29.262749,482.0,deposit,RUB,Desktop
8,1530135142,33435,3,cleared,2021-06-10 13:49:31.180935,2021-06-10 13:51:37.861973,331.0,deposit,RUB,Mobile
9,1530131239,16617,3,cleared,2021-06-08 11:09:31.662655,2021-06-08 11:10:43.814236,612.0,deposit,RUB,Desktop
10,1530120445,15713,1,canceled_by_attendee,2021-06-01 14:49:42.753923,,184.0,,RUB,Mobile
11,1530200034,29354,2,cleared,2021-07-23 15:48:39.372341,2021-07-23 15:48:58.666133,367.0,full_pay,RUB,Mobile
12,1530213132,26214,2,held,2021-07-31 19:29:21.765052,2021-08-03 14:57:58.011102,200.0,deposit,RUB,Mobile
13,1530174888,32460,3,canceled_by_attendee,2021-07-07 12:15:02.304358,2021-07-07 12:17:03.868453,940.0,post_pay,RUB,Desktop
14,1530288335,26577,2,canceled_by_attendee,2021-09-22 11:48:28.719454,,594.0,,RUB,Desktop
15,1530080996,24150,2,canceled_by_attendee,2021-04-30 16:35:12.975843,,571.0,,RUB,Mobile
16,1530035002,28669,2,held,2021-03-06 14:36:25.867887,2021-03-06 14:39:55.562422,408.0,full_pay,RUB,Mobile
17,1530010684,21732,1,canceled_by_attendee,2021-01-04 10:14:28.375718,,132.0,,RUB,Mobile
18,1530112681,26591,3,cleared,2021-05-25 23:45:19.442915,2021-05-26 00:00:12.442879,414.0,deposit,RUB,Desktop
19,1530127309,23644,2,cleared,2021-06-05 21:57:40.574989,2021-06-05 22:01:12.982006,556.0,deposit,RUB,Mobile
20,1530130400,23196,2,cleared,2021-06-07 19:40:36.555228,2021-06-07 19:42:52.434605,334.0,deposit,RUB,Mobile
21,1530144233,33970,8,canceled_by_host,2021-06-15 13:46:10.453232,,3153.0,,RUB,Desktop
22,1530279594,35889,1,cleared,2021-09-15 07:46:16.880419,2021-09-15 17:12:20.602445,241.0,deposit,RUB,Mobile
23,1530078480,22409,1,canceled_by_attendee,2021-04-28 21:43:53.819907,2021-04-28 21:45:43.906048,167.0,deposit,RUB,Desktop
24,1530024356,26081,3,canceled_by_host,2021-02-12 17:46:24.696347,,634.0,,RUB,Mobile
25,1530130005,29485,1,held,2021-06-07 15:43:14.103543,2021-06-14 09:28:12.643032,315.0,deposit,RUB,Desktop
26,1530224326,26591,1,cleared,2021-08-07 15:00:19.361641,2021-08-07 15:01:47.488115,165.0,deposit,RUB,Mobile
27,1530219932,30490,1,canceled_by_attendee,2021-08-04 23:02:02.728872,,332.0,,RUB,Mobile
28,1530096522,30497,2,held,2021-05-09 20:06:15.958996,2021-05-09 20:08:18.234121,260.0,full_pay,RUB,Mobile
29,1530021503,19917,1,canceled_by_host,2021-02-05 01:12:10.117730,2021-02-05 01:21:18.410456,121.0,deposit,RUB,Mobile
30,1530178865,15117,2,held,2021-07-10 08:41:08.947260,2021-07-10 08:43:54.154479,330.0,full_pay,RUB,Mobile
31,1530138134,17413,2,canceled_by_attendee,2021-06-12 01:34:52.029751,,317.0,,RUB,Mobile
32,1530265743,32648,3,canceled_by_attendee,2021-09-04 09:29:02.893718,,313.0,,RUB,Mobile
33,1530138933,34037,3,canceled_by_attendee,2021-06-12 13:04:34.459126,2021-06-12 13:05:08.596055,384.0,post_pay,RUB,Mobile
34,1530285764,30945,4,held,2021-09-20 08:08:35.633639,2021-10-04 20:23:05.522732,1141.0,deposit,EUR,Phablet
35,1530032244,30823,1,canceled_by_attendee,2021-03-01 22:02:10.556134,,147.0,,RUB,Desktop
36,1530210449,22206,1,canceled_by_attendee,2021-07-29 23:35:22.121027,2021-07-29 23:35:47.506252,147.0,post_pay,RUB,Phablet
37,1530256592,32661,1,cleared,2021-08-27 14:10:54.587408,2021-08-27 14:21:35.160932,130.0,full_pay,RUB,Phablet
38,1530082824,22722,1,cleared,2021-05-01 18:50:14.272844,2021-05-01 18:53:49.078864,351.0,deposit,RUB,Desktop
39,1530319152,34719,2,cleared,2021-10-21 21:51:07.643966,2021-10-27 23:23:56.920025,330.0,deposit,RUB,Desktop
40,1530307114,30611,1,canceled_by_attendee,2021-10-09 06:27:46.535921,2021-10-09 06:28:03.037167,742.0,post_pay,RUB,Mobile
41,1530127415,25691,2,held,2021-06-05 23:37:11.394567,2021-06-19 12:26:01.286612,271.0,deposit,RUB,Mobile
42,1530227481,30605,2,canceled_by_attendee,2021-08-09 12:28:44.400727,2021-08-09 12:29:18.373841,538.0,deposit,RUB,Desktop
43,1530261993,19706,3,cleared,2021-08-31 20:03:27.381406,2021-08-31 20:12:33.374465,464.0,deposit,RUB,Desktop
44,1530114621,25556,3,cleared,2021-05-27 18:28:24.953010,2021-05-27 18:38:33.198453,538.0,deposit,RUB,Mobile
45,1530296030,19335,1,canceled_by_host,2021-09-29 11:06:23.505646,2021-09-29 11:06:42.411696,148.0,post_pay,RUB,Mobile
46,1530224880,26576,4,canceled_by_attendee,2021-08-07 20:32:13.827295,,1762.0,,RUB,Tablet
47,1530161584,23196,2,canceled_by_attendee,2021-06-26 18:56:54.760828,,371.0,,RUB,Mobile
48,1530269100,28510,2,cleared,2021-09-07 06:05:03.912185,2021-09-07 06:09:41.322539,297.0,full_pay,RUB,Desktop
49,1530354209,28866,2,canceled_by_attendee,2021-12-16 19:06:48.981157,2021-12-16 19:07:34.956263,438.0,post_pay,RUB,Mobile
50,1530159059,22818,2,cleared,2021-06-24 23:43:43.924648,2021-06-25 23:12:03.616121,378.0,deposit,RUB,Desktop
51,1530064687,27042,2,held,2021-04-16 13:56:20.930680,2021-04-16 13:58:24.812415,408.0,full_pay,RUB,Desktop
52,1530010411,21197,1,canceled_by_attendee,2021-01-03 22:10:32.626057,,556.0,,RUB,Mobile
53,1530017606,30301,1,canceled_by_attendee,2021-01-23 00:32:25.880990,,738.0,,USD,Desktop
54,1530028143,3051,4,held,2021-02-21 14:24:37.799466,2021-02-21 14:28:57.225089,519.0,full_pay,RUB,Desktop
55,1530198663,21860,2,held,2021-07-22 20:14:10.535605,2021-07-28 20:27:02.847524,326.0,deposit,RUB,Mobile
56,1530314155,37160,1,canceled_by_host,2021-10-16 06:34:31.531616,,199.0,,USD,Mobile
57,1530282726,18899,1,held,2021-09-17 15:35:27.621951,2021-09-17 15:35:28.377523,145.0,full_pay,RUB,
58,1530333906,29354,2,canceled_by_attendee,2021-11-08 12:11:07.964827,,367.0,full_pay,RUB,Desktop
